"","Q 1","Q 2","Q 3","Q 4","Q 5","Q 6","Q 7","Q 8","Q 9"
"30",4.556,4.5,4.056,3,3.056,2.722,4,4.056,4.722
"31",3.857,4,3.714,3.429,3.571,3.714,2.714,3.143,3.714
"32",4.636,4.489,3.136,2.898,3.239,2.614,4.239,4.148,4.58
"33",3.923,3.718,3.744,2.846,3.128,2.897,3.513,3.513,3.641
"34",3.8,3.667,3,2.667,2.867,2.533,2.733,2.8,3.667
"35",4.656,4.406,3.813,2.906,2.5,2.563,3.969,3.969,4.688
"36",4.094,4,2.594,3.531,3.188,2.906,4.188,4.031,4.5
"37",3.727,3.727,4,3.636,3,3.364,3.455,3.818,4.273
"38",4.571,4.429,2.571,3.071,3.357,3.143,4.214,4.214,4.5
"39",4.257,4.229,4.086,2.943,2.6,2.657,3.771,3.714,4.257
"40",4.107,4.04,3.253,3.907,3.387,3.44,2.867,2.72,4.387
"41",3.969,3.969,2.474,3.536,3.887,3.464,2.711,2.938,4.124
"42",3.96,4.12,3.72,2.84,2.8,2.52,3.92,4.08,4.2
"43",4.636,4.545,3.636,3.273,2.909,3.727,3.909,4.182,4.455
"44",4.239,3.826,3.652,2.848,2.652,2.587,2.978,3.5,4.13
"45",3.57,3.544,3.848,2.025,2,1.886,2.949,3.291,3.886
"46",4.033,3.867,3.633,2.867,2.767,2.133,2.8,3.267,3.9
"47",3.722,3.444,2.833,3.222,3.111,2.556,3.556,3.556,4.056
"48",3.679,3.472,3.094,2.868,2.962,2.509,3.472,3.283,3.642
"49",4.156,4.141,3.844,2.859,2.688,2.641,3.188,3.516,4.313
"50",4.4,4.4,3.9,3.7,2.6,3.4,3.8,4.1,4
"51",4.25,3.85,3.25,3.4,3.25,2.85,3.75,3.4,4.15
"52",5,3,2.4,2.3,2.3,2.1,4.7,3.5,4.5
"53",4.833,4.417,3.5,3.333,2.75,2.5,4.417,4.167,4.5
"54",4.598,4.476,3.927,3.22,2.512,2.695,3.707,3.756,4.573
"55",4.6,4.6,3.667,2.667,2,2.067,3.733,3.933,4.533
"56",4.6,3.6,3.2,2.4,1.8,2,4.2,4.2,2.6
"57",4.667,4.45,3.883,3.05,2.633,2.5,3.9,4,4.567
"58",4,3.813,3.563,4.063,3.313,2.813,2.875,3.188,4.188
"59",4.423,4.346,3.962,4.038,3.654,3.154,3.846,3.423,4.385
"60",4.143,3.714,3.143,3.429,2.714,3.143,2.571,3.429,4.429
"61",3.878,3.756,3.707,2.317,2.341,2.122,2.732,3.537,3.854
"62",3.071,3.214,3.321,2.821,2.821,2.821,3.071,2.857,3.179
"63",3.2,3.4,2.267,3.822,3.467,3.733,3.044,2.978,3.356
"64",4.5,4.5,2.75,2.25,1.75,1.5,4.25,4.25,2
"65",4.76,4.44,3.84,3.52,2.68,2.36,3.6,3.4,4.56
"66",3.854,3.561,3.512,2.146,2.268,1.927,2.415,3.22,3.659
